No,Tanggal Putusan,Tahun,Nama Debitur,Area,PN,Sektor,Tbk,Value,Disclosed,K Separatis,K Preferen,K Konkuren
1,23/02/2026,2026,PT. Sarana Inti Selaras,Investment company,Jakarta Pusat,Keuangan,Bukan Tbk,###########,Disclosed,,,Rp430.707.467.290
2,28/01/2026,2026,PT. Sri Makmur Vaname,Ternak Udang,Jakarta Pusat,Bahan baku,Bukan Tbk,###########,Disclosed,,,Rp1.004.624.000
3,12/02/2026,2026,PT. MITRA JAYA SAKTI SENTOSA,Tekstil,Jakarta Pusat,Bahan baku,Bukan Tbk,###########,Disclosed,Rp228.409.291.389,,Rp220.701.727.456
4,14/01/2026,2026,PT Anugerah Prakarsa Niaga Sakti,Konsultan Strategi pemasaran,Jakarta Pusat,Konsumen non primer,Bukan Tbk,-,Undisclosed,,,
6,23/02/2026,2026,PT Cemerlang Asa Mandiri,Pertambangan Batubara,Jakarta Pusat,Energi,Bukan Tbk,###########,Disclosed,,,Rp15.141.729.649
7,02/03/2026,2026,PT Trimata Benua,Pertambangan Batubara,Jakarta Pusat,Energi,Bukan Tbk,###########,Disclosed,,,Rp1.299.965.029.465
8,04/03/2026,2026,PT Wijaya Karya Pracetak Gedung,Konstruksi pracetak gedung,Jakarta Pusat,Infrastruktur,Bukan Tbk,###########,Disclosed,Rp1.259.543.000,,
10,02/02/2026,2026,PT Bena Kutai,Hotel,Surabaya,Konsumen non primer,Bukan Tbk,###########,Undisclosed,,,
11,18/02/2026,2026,PT Mam Energindo,Kontraktor Kontruksi (infrastruktur dll),Jakarta Pusat,Infrastruktur,Bukan Tbk,###########,Disclosed,Rp2.652.333.509,,Rp18.832.209.534
13,12/02/2026,2026,PT Sipoa,Pengembang properti,Surabaya,Properti & real estate,Bukan Tbk,###########,Disclosed,Rp8.560.390.800,,
14,05/03/2026,2026,PT Welmy Pratama Indah,Pengembangan dan pengelolaan pusat perbelanjaan (mall),Makassar,Properti & real estate,Bukan Tbk,###########,Disclosed,,,Rp642.195.302
15,28/01/2026,2026,PT Arta Samudera Traktor,Perusahaan alat berat (traktor),Medan,Infrastruktur,Bukan Tbk,-,Undisclosed,,,
16,18/02/2026,2026,PT Binakarya Citra Lestari,Pengembang properti,Surabaya,Properti & real estate,Bukan Tbk,-,Undisclosed,,,
17,02/02/2026,2026,PT Adhi Karya (Persero) Tbk,konstruksi dan pembangunan infrastruktur,Jakarta Pusat,Infrastruktur,Tbk,-,Undisclosed,,,
19,26/02/2026,2026,PT Atthaya Kemi Mandiri,Distributor pupuk,Jakarta Pusat,Bahan baku,Bukan Tbk,-,Undisclosed,,,
20,02/02/2026,2026,PT Wijaya Karya Industri & Kontruksi,konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,###########,Disclosed,Rp9.280.624.457,,
21,24/02/2026,2026,PT Mitramas Makmur Perkasa,Pengemasan Minyak Goreng,Jakarta Pusat,Konsumen non primer,Bukan Tbk,###########,Disclosed,Rp2.639.958.326,,Rp6.180.299.011
22,23/02/2026,2026,Yayasan Kartika (Rumah Sakit Kartika Pulomas),Rumah sakit,Jakarta Pusat,Kesehatan,Bukan Tbk,###########,Disclosed,Rp9.688.538.989,,
23,29/01/2026,2026,PT Duta Irindo,kontraktor konstruksi,Makassar,Infrastruktur,Bukan Tbk,###########,Disclosed,Rp51.884.259.278,,
25,12/02/2026,2026,PT Asia Petrocom services,jasa pengeboran minyak dan gas,Jakarta Pusat,Energi,Bukan Tbk,###########,Disclosed,Rp361.685.863.369,,Rp395.603.575.531
26,26/01/2026,2026,PT Inhil Sari Mas Kelapa,pengolahan kelapa,Medan,Bahan baku,Bukan Tbk,###########,Disclosed,Rp1.500.000.000,,
28,20/01/2026,2026,PT Sawit Khatulistiwa Plantation,perusahaan perkebunan sawit,Surabaya,Bahan baku,Bukan Tbk,-,Undisclosed,,,
29,09/02/2026,2026,PT Tjakra Multi Strategi,pengembang properti,Surabaya,Properti & real estate,Bukan Tbk,,Disclosed,Rp7.417.864.798,,
30,12/02/2026,2026,PT Sentra Niaga Persada,perdagangan/ritel peralatan rumah tangga,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,
31,23/02/2026,2026,PT Brantas Abipraya,Konstruksi dan Infrastruktur,Jakarta Pusat,Infrastruktur,Bukan Tbk,-,Undisclosed,,,
32,23/02/2026,2026,PT Aiho Indah (dulu Radisson Hotel medan),Hotel,Medan,Konsumen non primer,Bukan Tbk,,Disclosed,Rp1.096.359.568,,
33,05/03/2026,2026,PT Triyasa Nagamas Farma,farmasi,Jakarta Pusat,Kesehatan,Bukan Tbk,###########,Disclosed,Rp66.953.694.660,Rp4.801.088.590,Rp35.670.817.500
34,11/02/2026,2026,PT Wijaya Karya (persero) Tbk,Konstruksi dan Infrastruktur,Jakarta Pusat,Infrastruktur,Tbk,-,Undisclosed,,,
35,01/04/2026,2026,CV Guna Usaha Sukses,Supplier snack,Surabaya,Konsumen non primer,Bukan Tbk,-,Undisclosed,,,
36,24/02/2026,2026,PT Hengsheng New Energy Material Indonesia,Industri Nikel,Makassar,Bahan baku,Bukan Tbk,-,Undisclosed,,,
37,06/02/2026,2026,PT Armindo Galvanizing Industry,Hot Dip Galvanizing dan Steel Structure.,Jakarta Pusat,Bahan baku,Bukan Tbk,###########,Disclosed,,,Rp9.165.914.207
38,26/02/2026,2026,PT Tamindo Permai Glass,industri pengolahan kaca,Jakarta Pusat,Bahan baku,Bukan Tbk,,Disclosed,Rp105.407.285.879,Rp1.986.084.133,Rp6.907.939.885
39,12/02/2026,2026,UD. Metro Tani,pertanian/pupuk,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,Rp660.251.443,,
40,05/01/2026,2026,"PT Asia Pasific Fibers, Tbk",produsen dan penjual poliester,Jakarta Pusat,Bahan baku,Tbk,,Undisclosed,,,
41,15/01/2026,2026,PT Hexa Prima Energy,perusahaan jasa teknis dan perdagangan industri/energi,Jakarta Pusat,Energi,Bukan Tbk,,Undisclosed,,,
42,09/03/2026,2026,PT Lisiang Multi Kimiatama,industri dan distribusi bahan kimia untuk tekstil,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
43,20/01/2026,2026,PT Konten Indomedia Pratama,media/teknologi informasi,Jakarta Pusat,Teknologi,Bukan Tbk,,Disclosed,,,Rp3.146.059.736
44,13/02/2026,2026,PT Duta Makmur Sejahtera,holding di sektor keuangan,Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,Rp0,Rp0,Rp0
45,29/01/2026,2026,PT Indofuji Energi,Kontraktor Konstruksi,Jakarta Pusat,Infrastruktur,Bukan Tbk,,Undisclosed,,,
47,05/03/2026,2026,CV Segoro Kidul,perdagangan umum & jasa distribusi,Surabaya,Transportasi,Bukan Tbk,,Disclosed,Rp2.000.000.000,,
48,27/02/2026,2026,PT Kutilang Paksi Mas,energi dan perdagangan bahan baka,Jakarta Pusat,Energi,Bukan Tbk,,Disclosed,Rp351.922.904.404,,Rp886.881.573.929
50,09/02/2026,2026,PT Pasir Tengah,Peternakan Sapi,Jakarta Pusat,Bahan baku,Bukan Tbk,###########,Disclosed,Rp595.589.751.739,Rp22.147.856.235,Rp335.046.039.127
51,13/02/2026,2026,PT Indonesia Transportindo Logistik,Jasa pengiriman barang,Jakarta Pusat,Transportasi,Bukan Tbk,-,Undisclosed,,,
52,07/07/2025,2025,PT. PERUSAHAAN PERSEROAN DAERAH PERKEBUNAN SUMATERA UTARA,,Medan,Bahan baku,Bukan Tbk,###########,Undisclosed,,,
53,18/06/2025,2025,PT Waskita Karya (Persero) Tbk,Konstruksi industri dan manufaktur,Jakarta Pusat,Infrastruktur,Bukan Tbk,###########,Undisclosed,,,
54,18/09/2025,2025,PT. Intan Mas Indo Logam,Bidang produksi dan pengelolaan Pipa Besi.,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,
55,19/05/2025,2025,PT SUMBER PRIMA ANUGRAH ABADI,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,,,Rp268.231.400
56,21/08/2025,2025,PT. SINTRA SINARINDO ELEKTRIK,Manufaktur trafo daya dan distribusi listrik,Jakarta Pusat,Perindustrian,Bukan Tbk,###########,Disclosed,,Rp339.711.494,Rp4.250.057.964
57,27/10/2025,2025,CV. MINA CERIA NUSANTARA,Pengolahan dan distribusi hasil perikanan,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
58,27/08/2025,2025,PT FARRAH ATHAILALAH LESTARI,Properti dan pengembangan kawasan,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,
59,16/01/2025,2025,PT TJOKRO VARIA INDUSTRI,Manufaktur komponen industri,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
60,13/06/2025,2025,PT STC Indonesia,Konsultasi perdagangan berkelanjutan dan agribisnis,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
61,19/06/2025,2025,PT. SINERGI USAHA MAKMUR,Perdagangan umum dan jasa,Makassar,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
62,25/08/2025,2025,PT.MARISO INDOLAND MAKASSAR,Pengembang Properti & real estate,Makassar,Properti & real estate,Bukan Tbk,,Undisclosed,,,
63,25/07/2025,2025,PT. Nusantara Graha Utama,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,
64,22/01/2025,2025,PT. Hutama Sentra Sejahtera,Properti dan konstruksi,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,Rp1.499.704.665,,Rp1.500.000.000
65,12/02/2025,2025,PT KOBEXINDO CEMENT,Manufaktur dan produksi semen,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,
66,21/11/2025,2025,PT Bumi Arta Sedayu,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,Rp74.357.992.345,,Rp550.098.215.646
67,14/07/2025,2025,PT Sari Kreasi Boga Tbk.,Waralaba makanan dan minuman (Kebab Baba Rafi),Jakarta Pusat,Konsumen non primer,Tbk,,Undisclosed,,,
68,20/02/2025,2025,PT. Agregat Prima Indonesia,Produksi material agregat untuk konstruksi,Surabaya,Bahan baku,Bukan Tbk,,Disclosed,Rp59.077.852.389,Rp1.288.406.011,Rp2.508.895.260
69,20/02/2025,2025,CV AYU WULAN LESTARI,Perdagangan umum,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
70,27/05/2025,2025,PT Lantai Emas Kemenangan Jaya,Manufaktur dan perdagangan material lantai,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,Rp88.408.327.928,,Rp18.494.012.845
71,14/05/2025,2025,PT. TUNAS MAKMUR JAYA ABADI,Perdagangan umum dan distribusi,Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Disclosed,Rp9.758.000.000,,Rp18.113.883.250
72,23/06/2025,2025,PT Anugerahinti Gemahnusa,Pertanian dan perdagangan agrikultur,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,
73,06/01/2025,2025,Djoesianto Law,Firma hukum (corporate law & keuangan),Jakarta Pusat,Keuangan,Bukan Tbk,,Undisclosed,,,
74,03/02/2025,2025,PT. Albizzia Sinar Lestari Indah,Perkebunan kayu dan kehutanan (sengon/albizzia),Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,
75,16/09/2025,2025,PT GANDARIA MEDIKA,Layanan kesehatan dan rumah sakit,Jakarta Pusat,Kesehatan,Bukan Tbk,,Undisclosed,,,
76,17/02/2025,2025,PT BUKIT LENTERA SEJAHTERA,Pertambangan atau investasi sumber daya alam,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,
77,17/11/2025,2025,PT SAMUDRA AGUNG REALITY,Pengembang Properti & real estate,Surabaya,Properti & real estate,Bukan Tbk,,Undisclosed,,,
78,21/08/2025,2025,PT PRIMA PERAHU AGUNG,Jasa transportasi laut,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
79,24/11/2025,2025,PT. Tanjung Cemerlang Shipping,Jasa pelayaran dan logistik,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
80,26/08/2025,2025,PT GRAHA BUANA PERSADA,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,
81,22/10/2025,2025,PT Sukanda Djaya,Distribusi makanan & minuman cold chain (Diamond Group),Jakarta Pusat,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
82,10/03/2025,2025,PT Mitra Rajawali Banjaran,Manufaktur alat kesehatan berbasis latex (BUMN),Jakarta Pusat,Perindustrian,Bukan Tbk,,Disclosed,Rp7.954.803.112,,Rp109.396.786.289
83,21/07/2025,2025,PT HECHUAN INDONESIA,Manufaktur industri (investasi China),Jakarta Pusat,Perindustrian,Bukan Tbk,,Undisclosed,,,
84,03/02/2025,2025,PT Prima Sarana Ekspres,Jasa ekspedisi dan pengiriman barang,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
85,03/11/2025,2025,PT Semangat Makmur Sentosa,Perdagangan umum dan distribusi,Makassar,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
86,08/07/2025,2025,PT Yufa Kalimantan,Perdagangan umum dan distribusi Kalimantan,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
87,29/12/2025,2025,PT. Sumber Lautan Rejeki,Pengolahan dan distribusi hasil laut,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,
88,03/11/2025,2025,PT. Gunung Putri Graha Mas,Pengembang Properti & real estate,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Disclosed,,,Rp2.989.061.779
89,17/11/2025,2025,PT PABRIK KERTAS INDONESIA DISINGKAT PT PAKERIN,Manufaktur dan produksi kertas,Surabaya,Bahan baku,Bukan Tbk,,Undisclosed,,,
90,01/12/2025,2025,PT BAGAN CITRA LESTARI,Produksi dan distribusi produk konsumen,Medan,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
91,18/03/2025,2025,YAYASAN PENDIDIKAN DAN SOSIAL DWIWARNA,Pendidikan dan kegiatan sosial (Yayasan TNI AD),Medan,Konsumen non primer,Bukan Tbk,,Undisclosed,,,
92,18/09/2025,2025,PT. Minamas Gemilang,Perkebunan kelapa sawit dan pengolahan CPO,Jakarta Pusat,Bahan baku,Bukan Tbk,,Undisclosed,,,
93,27/10/2025,2025,PT Kartika Inphilekatama Perdana,Konstruksi dan properti,Jakarta Pusat,Properti & real estate,Bukan Tbk,,Undisclosed,,,
94,05/06/2025,2025,CV Sealant Malang,Perdagangan produk sealant dan bahan bangunan,Surabaya,Perindustrian,Bukan Tbk,,Disclosed,Rp236.401.112,,
95,15/07/2025,2025,PT Arinofa Visi Karya Indonesia,Distribusi alat kesehatan dan farmasi,Jakarta Pusat,Teknologi,Bukan Tbk,,Undisclosed,,,
96,13/10/2025,2025,PT METAL SUKSES CEMERLANG,Manufaktur produk logam dan baja,Medan,Bahan baku,Bukan Tbk,,Undisclosed,,,
97,30/10/2025,2025,PT PROCARGO UTAMA MANDIRI,Jasa angkutan dan logistik kargo,Jakarta Pusat,Transportasi,Bukan Tbk,,Undisclosed,,,
98,09/07/2025,2025,PT. OXLEY KARYA INDO BATAM,Pengembang properti dan kawasan terpadu,Medan,Properti & real estate,Bukan Tbk,,Undisclosed,,,
99,20/03/2025,2025,PT. GRAHA ORBIT LINTAS DUNIA (citinineproperty),Pengembang Properti & real estate,Surabaya,Properti & real estate,Bukan Tbk,,Disclosed,Rp9.268.328.231,Rp486.896,Rp809.676.000
100,06/02/2025,2025,PT. BUMI KITA PERTIWI DAN EDWIN YANI WIDJAJA,Pengembang Properti & real estate,Surabaya,Properti & real estate,Bukan Tbk,,Undisclosed,,,
101,25/09/2025,2025,PT Cheria Halal Wisata,Jasa perjalanan wisata halal,Jakarta Pusat,Konsumen non primer,Bukan Tbk,,Undisclosed,,,
102,10/12/2025,2025,PT WIDJAJA PUTRA JAYA,Konstruksi dan kontraktor kayu,Surabaya,Barang konsumen primer,Bukan Tbk,,Undisclosed,,,
